JUDET ;NUMAR TOTAL SOMERI ;NUMAR TOTAL SOMERI FEMEI  ;NUMAR TOTAL SOMERI BARBATI ;NUMAR TOTAL SOMERI DIN MEDIUL URBAN ;NUMAR SOMERI FEMEI DIN MEDIUL URBAN ;NUMAR SOMERI BARBATI DIN MEDIUL URBAN ;NUMAR TOTAL SOMERI DIN MEDIUL RURAL ;NUMAR SOMERI FEMEI DIN MEDIUL RURAL ;NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA;5613;2694;2919;1700;889;811;3913;1805;2108
 ARAD;3467;1741;1726;1214;643;571;2253;1098;1155
 ARGES;8858;4129;4729;1346;826;520;7512;3303;4209
 BACAU;4140;1912;2228;1395;743;652;2745;1169;1576
 BIHOR;5773;2857;2916;1609;961;648;4164;1896;2268
 BISTRITA-NASAUD;4047;1936;2111;1281;636;645;2766;1300;1466
 BOTOSANI;4971;2091;2880;1299;720;579;3672;1371;2301
 BRAILA;5420;2376;3044;1303;771;532;4117;1605;2512
 BRASOV;7054;3089;3965;1844;946;898;5210;2143;3067
 BUZAU;7166;3177;3989;1266;708;558;5900;2469;3431
 CALARASI;4744;2288;2456;1148;638;510;3596;1650;1946
 CARAS-SEVERIN;3361;1561;1800;1426;699;727;1935;862;1073
 CLUJ;5206;2586;2620;1946;1190;756;3260;1396;1864
 CONSTANTA;6469;3931;2538;2625;1874;751;3844;2057;1787
 COVASNA;4068;1849;2219;1140;619;521;2928;1230;1698
 DAMBOVITA;6363;3028;3335;886;496;390;5477;2532;2945
 DOLJ;20824;9509;11315;2808;1556;1252;18016;7953;10063
 GALATI;10319;4251;6068;1587;846;741;8732;3405;5327
 GIURGIU;1949;972;977;357;193;164;1592;779;813
 GORJ;4906;2559;2347;1534;966;568;3372;1593;1779
 HARGHITA;6811;3253;3558;1997;1083;914;4814;2170;2644
 HUNEDOARA;6936;3828;3108;4670;2655;2015;2266;1173;1093
 IALOMITA;4815;2140;2675;1188;589;599;3627;1551;2076
 IASI;10528;4773;5755;1585;881;704;8943;3892;5051
 ILFOV;802;491;311;226;138;88;576;353;223
 MARAMURES;4460;2227;2233;2047;1060;987;2413;1167;1246
 MEHEDINTI;7406;3209;4197;1194;666;528;6212;2543;3669
 MURES;6461;2960;3501;1871;995;876;4590;1965;2625
 NEAMT;8926;3784;5142;1328;731;597;7598;3053;4545
 OLT;7320;3209;4111;1364;801;563;5956;2408;3548
 PRAHOVA;6644;3391;3253;2007;1147;860;4637;2244;2393
 SALAJ;5657;2433;3224;848;462;386;4809;1971;2838
 SATU MARE;6593;3109;3484;1398;763;635;5195;2346;2849
 SIBIU;5922;2724;3198;1699;883;816;4223;1841;2382
 SUCEAVA;13277;5558;7719;3133;1474;1659;10144;4084;6060
 TELEORMAN;10617;4239;6378;1864;871;993;8753;3368;5385
 TIMIS;3557;1925;1632;1428;820;608;2129;1105;1024
 TULCEA;2780;1368;1412;645;366;279;2135;1002;1133
 VALCEA;3924;1947;1977;1499;819;680;2425;1128;1297
 VASLUI;10182;4202;5980;1388;725;663;8794;3477;5317
 VRANCEA;2426;1190;1236;518;280;238;1908;910;998
BUCURESTI;8403;4815;3588;8403;4815;3588;0;0;0
Total TARA ;269165;125311;143854;72014;39944;32070;197151;85367;111784
