judet ;TOTAL ;Sub 25 ani;25 - 29 ani;30 - 39 ani;40 - 49 ani;50 - 55 ani;peste 55 ani
ALBA;5613;503;363;1136;1452;1076;1083
ARAD;3467;222;157;590;900;750;848
ARGES;8858;628;493;1674;2293;1792;1978
BACAU;4140;338;162;616;1063;933;1028
BIHOR;5773;559;368;1151;1474;941;1280
BISTRITA NASAUD;4047;427;232;679;922;652;1135
BOTOSANI;4971;306;201;762;1294;1138;1270
BRAILA;5420;439;247;815;1437;896;1586
BRASOV;7054;872;571;1681;1692;1101;1137
BUZAU;7166;545;245;977;1706;1719;1974
CALARASI;4744;400;282;999;1238;877;948
CARAS-SEVERIN;3361;302;162;564;837;656;840
CLUJ;5206;636;340;1016;1304;927;983
CONSTANTA;6469;361;223;990;1695;1138;2062
COVASNA;4068;736;318;836;973;651;554
DAMBOVITA;6363;614;345;1177;1564;1210;1453
DOLJ;20824;1810;1379;4121;5190;3937;4387
GALATI;10319;749;481;1523;2726;1915;2925
GIURGIU;1949;168;105;397;497;355;427
GORJ;4906;386;226;782;1187;1100;1225
HARGHITA;6811;1136;509;1390;1594;1121;1061
HUNEDOARA;6936;744;505;1241;1650;1395;1401
IALOMITA;4815;383;206;832;1238;828;1328
IASI;10528;739;509;1746;2912;1775;2847
ILFOV;802;65;39;179;203;150;166
MARAMURES;4460;560;273;945;1145;760;777
MEHEDINTI;7406;465;366;1110;1979;1587;1899
MUNICIPIUL BUCURESTI;8403;277;629;2098;1961;1801;1637
MURES;6461;907;507;1395;1605;884;1163
NEAMT;8926;605;385;1437;2408;1947;2144
OLT;7320;588;394;1335;1677;1561;1765
PRAHOVA;6644;537;291;1093;1718;1485;1520
SALAJ;5657;885;453;1280;1387;836;816
SATU-MARE;6593;910;475;1446;1791;1004;967
SIBIU;5922;625;461;1419;1498;769;1150
SUCEAVA;13277;1552;859;2715;3479;1890;2782
TELEORMAN;10617;868;550;1845;2727;2076;2551
TIMIS;3557;241;167;627;997;603;922
TULCEA;2780;180;312;466;592;611;619
VALCEA;3924;396;225;606;968;838;891
VASLUI ;10182;400;313;1426;2868;2540;2635
VRANCEA;2426;223;94;399;532;562;616
TOTAL;269165;24287;15422;49516;68373;50787;60780
